time,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,ROC,OSC,Plot,P/S ratio,P/S ratio
1997-12-08,2.94,,,2.7045,,58.45340199357759,49.505492010447874,,,,,0.04398235547896541,0.04333766324801491,-0.0006446922309504936,13.513513513513518,,,,
1997-12-15,2.93,,,2.71125,,57.92701420968474,50.533135014486035,,,,,0.04149011644544971,0.051217953325861654,0.009727836880411938,14.007782101167328,,,,
1997-12-22,2.93,,,2.71725,,57.92701420968474,51.6723004692032,,,,,0.037664362006740115,0.056808289388837085,0.019143927382096967,12.260536398467444,,,,
1997-12-29,3.02,,,2.726,,61.541908594261,53.14493135987516,,,,,0.03886108335983747,0.0677202815818938,0.028859198222056334,20.318725099601604,,,,
1998-01-05,3.16,,,2.732,,66.3808388444069,54.746788533267,,,,,0.04624537204801339,0.08666591328207307,0.04042054123405968,29.50819672131148,,,,
1998-01-12,3.01,,,2.7355,,57.96537275128098,56.12846295720842,,,,,0.03850828638922811,0.08855589922059481,0.0500476128313667,16.666666666666654,,,,
1998-01-19,2.9,,,2.7352499999999997,,52.6900376009216,57.364500920039696,,,,,0.02416394543323116,0.08025254462290565,0.056088599189674494,-3.0100334448160635,,,,
1998-01-26,3,,,2.74075,,56.56046224846051,58.171351819277525,,,,,0.019776893798764454,0.08080971643813006,0.06103282263936561,6.007067137809185,,,,
1998-02-02,2.93,,,2.7415,,53.2748880242341,57.47159860911193,,,,,0.010966776311796073,0.0747412930291107,0.06377451671731463,1.7361111111111205,,,,
1998-02-09,2.97,,,2.7455,,54.887542955210975,57.42889894901361,,,,,0.006841155272577809,0.07232596080803688,0.06548480553545907,2.4137931034482856,,,,
1998-02-16,2.91,,,2.7512499999999998,,51.989007816400445,57.05546315416816,,,,,-0.0005294010332819871,0.06482305424385659,0.06535245527713858,0.3448275862069045,,,,
1998-02-23,2.87,,,2.757,,50.089905277377134,56.49600898976292,,,,,-0.00826988327021537,0.055015101189369364,0.06328498445958473,2.1352313167259807,,,,
